"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,
"Saudi Arabia","456","Revenue (% of GDP)","GGR_G01_GDP_PT","Value",,"33.0442760224623","28.4046637909568","25.4824881970646","27.2903902432664","30.0955923189552","33.0923699948354","25.6555219037514","24.3234686423531","36.3173809835383","33.0332200365813","29.9569211035961","34.3145371553409","40.8118653919883","46.1376649271067","48.091911319307","41.2365724183279","56.481587410869","31.6822632025743","37.4031819820293","44.3967669721053","45.1659059526281","41.1656593781407","36.6722795854056","24.972111417384","21.4780943559607","24.0686329752277","29.5741025397357","30.7558068345058","29.6338984466097","30.8878621578372","32.3465651935958","31.5815094845208","31.8180272569829","31.7754084851383","31.5454827326691","31.485859524001",
"Senegal","722","Revenue (% of GDP)","GGR_G01_GDP_PT","Value",,,,,"16.8477007873316","16.299104133074","15.0378359153672","14.3958376244989","14.0085203544393","14.7634579389252","14.2709802601965","15.7057868871339","16.5537773152263","18.3293264223168","18.4059898896429","17.6183686866975","19.3741370250386","17.4074880628776","17.4557682334881","17.7610271580871","18.3269915157245","18.7870084314836","17.7548554503249","19.2035914896094","19.283508203794","20.6909874884476","19.4949900674396","18.8896643645886","20.3391803971344","20.1591256008865","19.4418243199804","20.468319173984","21.3507798038464","22.0229137116957","23.2325860329165","22.8827695423898","23.3785582848833",
"Singapore","576","Revenue (% of GDP)","GGR_G01_GDP_PT","Value","16.5318858320214","17.2296405643027","18.8747078024655","19.628940192528","18.603862232249","20.0800281276208","20.2094216698324","20.4792494550795","21.0876407440351","20.715431446113","19.4097548504288","18.1634895862644","16.3233274131139","16.1251195129343","14.9343507499287","14.4395777281757","16.1349613167991","17.5642148587915","15.758646601696","15.9150196124002","17.6222083285233","17.1611217891532","16.8772286824431","17.1744469055941","17.2989463897194","18.5781580776273","18.864493397921","17.5684231604876","17.8381233371759","17.8517293057969","18.416779617278","17.5945147224655","16.6239857805692","17.7369016357003","18.2722747584411","18.5943692492361","18.7254019458266",
"Slovak Republic","936","Revenue (% of GDP)","GGR_G01_GDP_PT","Value",,,,,,"43.4547583602629","42.4438074754356","40.5537257899529","40.793114908951","40.1414990050851","38.0860511674465","37.2264905061935","37.259369085934","35.605693099326","36.8518944015719","35.2422047713506","34.3301658872068","34.470904176374","36.2581830890108","34.8054739159699","37.211078793068","36.9015374675065","39.7434290926779","40.2909342276799","43.0261290152989","40.0951931883546","38.6187589483544","38.8126592724374","39.3650051037768","39.8513020841818","40.6829100538906","41.3042939705534","40.5526094801022","38.3688876218483","37.9519089480467","37.8979786852358","37.5142286554686",
"Slovenia","961","Revenue (% of GDP)","GGR_G01_GDP_PT","Value",,,,,,"44.0534110460761","43.0636360351245","43.8906186896651","44.046997085902","43.8888034328572","44.2610780368551","44.8871695132619","44.5600527850765","44.686226391875","45.06965816663","44.3081254389059","43.3606569062112","43.6587854673744","43.5480445401863","44.576076823443","44.2272508945292","45.3597327691548","45.688711619754","45.3349736809241","45.8630825221478","44.2435316691063","44.0170373831993","44.2361306382598","43.6318718565268","43.3120802371726","43.7534254820047","43.0430578557687","43.2580181414306","43.7217927942088","43.8082125438092","43.9343611151706","44.0569878763208",
"South Africa","199","Revenue (% of GDP)","GGR_G01_GDP_PT","Value",,,,,,,,,,,"21.6047047601801","21.2551641559426","21.03067458509","21.6637414129838","25.0374545166001","25.4814339562391","25.6473722638695","25.5228413810883","23.7886571900773","23.7606567029591","24.3563377169673","24.5807287027887","25.0049687538046","25.3967864215954","25.7900963865533","26.18357397908","25.8441253194297","26.4920448770802","26.7481686830262","24.9662653439426","26.9395377543178","27.8709169193972","27.6711621889969","26.872386673812","26.6954813415556","26.722248139966","26.672783171331",
"Spain","184","Revenue (% of GDP)","GGR_G01_GDP_PT","Value","38.077583311821","39.646960782774","39.4323359045437","38.562787202878","37.3847619073767","37.147620217504","37.7071984614683","38.421381740054","38.661138080984","37.9459165764968","37.9582963025308","38.3206235191154","38.0001146751825","38.7224427154056","39.7126457232759","40.5598397327019","41.1413254191619","36.8703815361487","34.9547330413729","36.5077574626483","36.4150661378521","37.9199281543285","38.8649754789542","39.2361440787166","38.7524939912212","38.1789125906773","38.2126353532719","39.2337809233091","39.2564138623807","41.4902473198401","43.7285851445111","44.0124857444313","43.7999796882929","42.8194839283218","41.7021072251752","40.9444182662701","40.9442550334082",
"Sudan","732","Revenue (% of GDP)","GGR_G01_GDP_PT","Value","19.2228431427385","25.9036654553682","15.6435082631236","16.5191188978564","9.3979793900459","6.69460598397204","6.79007768465081","7.22846031800454","7.5962936431464","9.66356683752845","9.09942992700415","9.85535263036682","13.3118711349179","16.6677257346946","17.8739890605879","17.5002352868463","16.7413466720191","20.2033059431631","14.9590180362101","17.4616672242897","15.9060530612194","9.11317965083571","9.56276847915527","8.79196147472402","8.50904288125806","6.05788129269708","6.74300853912563","8.91421978357729","7.84527930316069","4.8229791647893","9.36389558340345","9.1857132759396","9.90643572951275","10.3172424690687","10.522692809909","10.4258056535764","10.3006296093848",
"Sweden","144","Revenue (% of GDP)","GGR_G01_GDP_PT","Value","61.3489950476846","57.796287400187","56.9201551411798","56.3749927342383","55.0263193363867","56.9338398330841","56.3148272161597","56.4226010901549","55.8275711925048","55.3329504669765","53.0695589901631","51.2546491292889","51.5965483913564","51.681969504564","53.1106057995589","52.1978954840809","51.6582346417981","50.9131943030016","50.484845564439","49.2902777354144","48.3872845472189","48.7803913669095","49.1392275191875","48.1435008127271","48.3927360126934","49.7828441068704","49.6536719037494","49.5953031974361","48.6200047964015","48.12560707094","49.5963609967253","49.2099222547434","48.429770553102","49.0322083068104","48.7440961952533","48.5654720263244","48.5558633734695",
"Switzerland","146","Revenue (% of GDP)","GGR_G01_GDP_PT","Value","27.619150554756","28.3264605306314","29.3102543161858","29.9026378923967","30.5906362425759","30.9532130647863","30.6034180611998","31.3795590072315","31.6728182846438","32.5209573797331","31.8028761922731","32.3435739807945","31.8728192582379","31.6631101338511","31.7511132861458","31.3798576686452","31.0305674218298","31.9010579390979","32.2607310860733","31.8001758335459","32.1337431011173","31.8938866483227","32.1140815299903","31.9278783982412","33.0201523580451","32.6853625883928","33.579346861416","33.0339760336866","33.3080296860717","34.0879271510968","34.2902046476525","33.4329495314611","32.9648882380207","32.6352393556404","32.4720631588622","32.4720631588622","32.4720631588622",
