,Country Name,Country Code,Indicator Name,Indicator Code,Year,Feature Value
0,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1851,29.4724745155121
1,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1852,27.2711557342805
2,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1853,23.1632068198223
3,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1854,28.2988215922816
4,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1855,26.9184807759714
5,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1856,26.0498418548792
6,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1857,28.806607128878
7,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1858,28.1681698679897
8,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1859,29.4271802510986
9,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1860,32.4947666144415
10,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1861,33.5146623448906
11,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1862,32.8872947105582
12,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1863,33.3882224620493
13,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1864,35.9526418274415
14,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1865,38.5539171390744
15,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1866,40.1402931828723
16,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1867,40.6802820787722
17,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1868,46.2924424650187
18,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1869,48.8633473736592
19,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1870,50.267263924238
20,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1871,59.4731509841057
21,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1872,55.9489141082125
22,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1873,52.6981279776791
23,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1874,55.1016562199519
24,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1875,53.4301673837582
25,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1876,54.8198718633305
26,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1877,56.1464547106338
27,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1878,59.6889266336055
28,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1879,61.5722516096836
29,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1880,62.6096966256454
30,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1881,59.5258932983824
31,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1882,60.224131801888
32,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1883,61.8261499836789
33,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1884,58.8457176944602
34,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1885,63.1349303454271
35,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1886,60.6070132662049
36,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1887,60.2780566418664
37,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1888,58.2045514977139
38,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1889,58.5010087981858
39,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1890,60.2178400758595
40,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1891,65.0038141628784
41,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1892,63.1367650245947
42,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1893,65.7651868020987
43,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1894,61.6767260438941
44,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1895,58.189361708555
45,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1896,57.8638859038356
46,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1897,64.1159238936385
47,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1898,62.1857471974352
48,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1899,56.2730285463504
49,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1900,58.9916096453945
50,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1901,63.2140861664061
51,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1902,61.9380333872128
52,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1903,51.9748992167262
53,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1904,52.4026727553997
54,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1905,55.1689802566252
55,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1906,54.9387742124533
56,Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,1907,51.8646336082693
