,Country Name,Country Code,Indicator Name,Indicator Code,Year,Feature Value,filename
0,Mauritius,684,Gender Inequality Index,GE_GII,1990,0.505687415599823,GENDER
1,Mauritius,684,Gender Inequality Index,GE_GII,1991,0.502605020999908,GENDER
2,Mauritius,684,Gender Inequality Index,GE_GII,1992,0.498920232057571,GENDER
3,Mauritius,684,Gender Inequality Index,GE_GII,1993,0.492967635393143,GENDER
4,Mauritius,684,Gender Inequality Index,GE_GII,1994,0.487268149852753,GENDER
5,Mauritius,684,Gender Inequality Index,GE_GII,1995,0.48235958814621,GENDER
6,Mauritius,684,Gender Inequality Index,GE_GII,1996,0.470233649015427,GENDER
7,Mauritius,684,Gender Inequality Index,GE_GII,1997,0.456662565469742,GENDER
8,Mauritius,684,Gender Inequality Index,GE_GII,1998,0.444080293178558,GENDER
9,Mauritius,684,Gender Inequality Index,GE_GII,1999,0.429372549057007,GENDER
10,Mauritius,684,Gender Inequality Index,GE_GII,2000,0.429767906665802,GENDER
11,Mauritius,684,Gender Inequality Index,GE_GII,2001,0.430430948734283,GENDER
12,Mauritius,684,Gender Inequality Index,GE_GII,2002,0.432081788778305,GENDER
13,Mauritius,684,Gender Inequality Index,GE_GII,2003,0.432369470596313,GENDER
14,Mauritius,684,Gender Inequality Index,GE_GII,2004,0.432733207941055,GENDER
15,Mauritius,684,Gender Inequality Index,GE_GII,2005,0.358439773321152,GENDER
16,Mauritius,684,Gender Inequality Index,GE_GII,2006,0.369792968034744,GENDER
17,Mauritius,684,Gender Inequality Index,GE_GII,2007,0.381489217281342,GENDER
18,Mauritius,684,Gender Inequality Index,GE_GII,2008,0.387656271457672,GENDER
19,Mauritius,684,Gender Inequality Index,GE_GII,2009,0.394510418176651,GENDER
20,Mauritius,684,Gender Inequality Index,GE_GII,2010,0.39235383272171,GENDER
21,Mauritius,684,Gender Inequality Index,GE_GII,2011,0.391204208135605,GENDER
22,Mauritius,684,Gender Inequality Index,GE_GII,2012,0.390154302120209,GENDER
23,Mauritius,684,Gender Inequality Index,GE_GII,2013,0.389784395694733,GENDER
24,Mexico,273,Gender Inequality Index,GE_GII,1990,0.529218673706055,GENDER
25,Mexico,273,Gender Inequality Index,GE_GII,1991,0.52575558423996,GENDER
26,Mexico,273,Gender Inequality Index,GE_GII,1992,0.519203066825867,GENDER
27,Mexico,273,Gender Inequality Index,GE_GII,1993,0.514178395271301,GENDER
28,Mexico,273,Gender Inequality Index,GE_GII,1994,0.508967101573944,GENDER
29,Mexico,273,Gender Inequality Index,GE_GII,1995,0.501930773258209,GENDER
30,Mexico,273,Gender Inequality Index,GE_GII,1996,0.499646335840225,GENDER
31,Mexico,273,Gender Inequality Index,GE_GII,1997,0.493357926607132,GENDER
32,Mexico,273,Gender Inequality Index,GE_GII,1998,0.479418724775314,GENDER
33,Mexico,273,Gender Inequality Index,GE_GII,1999,0.474600553512573,GENDER
34,Mexico,273,Gender Inequality Index,GE_GII,2000,0.476976037025452,GENDER
35,Mexico,273,Gender Inequality Index,GE_GII,2001,0.473056942224503,GENDER
36,Mexico,273,Gender Inequality Index,GE_GII,2002,0.465758919715881,GENDER
37,Mexico,273,Gender Inequality Index,GE_GII,2003,0.441308736801147,GENDER
38,Mexico,273,Gender Inequality Index,GE_GII,2004,0.431279540061951,GENDER
39,Mexico,273,Gender Inequality Index,GE_GII,2005,0.420254111289978,GENDER
40,Mexico,273,Gender Inequality Index,GE_GII,2006,0.420237272977829,GENDER
41,Mexico,273,Gender Inequality Index,GE_GII,2007,0.414440006017685,GENDER
42,Mexico,273,Gender Inequality Index,GE_GII,2008,0.410382837057114,GENDER
